straightaway1,vehicle_speed,Fast speed,
straightaway2,vehicle_speed,Fast speed,
straightaway3,vehicle_speed,Fast speed,
straightaway4,vehicle_speed,Fast speed,
straightaway5,vehicle_speed,Slow speed,
straightaway6,vehicle_speed,Fast speed,
straightaway7,vehicle_speed,Slow speed,
straightaway8,vehicle_speed,Fast speed,
straightaway9,vehicle_speed,Fast speed,
straightaway10,vehicle_speed,Fast speed,
straightaway11,vehicle_speed,Fast speed,
straightaway12,vehicle_speed,Fast speed,
straightaway13,vehicle_speed,Slow speed,
straightaway14,vehicle_speed,Slow speed,
straightaway15,vehicle_speed,Slow speed,
straightaway16,vehicle_speed,Slow speed,
straightaway17,vehicle_speed,Slow speed,
straightaway18,vehicle_speed,Slow speed,
straightaway19,vehicle_speed,Fast speed,
straightaway20,vehicle_speed,Slow speed,
straightaway21,vehicle_speed,Fast speed,
straightaway22,vehicle_speed,Fast speed,
straightaway23,vehicle_speed,Fast speed,
straightaway24,vehicle_speed,Fast speed,
straightaway25,vehicle_speed,Fast speed,
straightaway26,vehicle_speed,Slow speed,
straightaway27,vehicle_speed,Fast speed,
straightaway28,vehicle_speed,Fast speed,
straightaway29,vehicle_speed,Fast speed,
straightaway30,vehicle_speed,Slow speed,
straightaway31,vehicle_speed,Slow speed,
straightaway32,vehicle_speed,Slow speed,
straightaway33,vehicle_speed,Slow speed,
straightaway34,vehicle_speed,Slow speed,
straightaway35,vehicle_speed,Fast speed,
straightaway36,vehicle_speed,Slow speed,
straightaway37,vehicle_speed,Slow speed,
straightaway38,vehicle_speed,Slow speed,
straightaway39,vehicle_speed,Slow speed,
straightaway40,vehicle_speed,Slow speed,
Crossroads1,vehicle_speed,Slow speed,
Crossroads2,vehicle_speed,Slow speed,
Crossroads3,vehicle_speed,Slow speed,
Crossroads4,vehicle_speed,Slow speed,
Crossroads5,vehicle_speed,Slow speed,
Crossroads6,vehicle_speed,Slow speed,
Crossroads7,vehicle_speed,Slow speed,
Crossroads8,vehicle_speed,Slow speed,
Crossroads9,vehicle_speed,Slow speed,
Crossroads10,vehicle_speed,Slow speed,
Crossroads11,vehicle_speed,Slow speed,
Crossroads12,vehicle_speed,Slow speed,
Crossroads13,vehicle_speed,Slow speed,
Crossroads14,vehicle_speed,Slow speed,
Crossroads15,vehicle_speed,Slow speed,
Crossroads16,vehicle_speed,Slow speed,
Crossroads17,vehicle_speed,Slow speed,
Crossroads18,vehicle_speed,Slow speed,
Crossroads19,vehicle_speed,Slow speed,
Crossroads20,vehicle_speed,Slow speed,
Crossroads21,vehicle_speed,Slow speed,
Crossroads22,vehicle_speed,Slow speed,
Crossroads23,vehicle_speed,Slow speed,
Crossroads24,vehicle_speed,Slow speed,
Crossroads25,vehicle_speed,Slow speed,
Crossroads26,vehicle_speed,Slow speed,
Crossroads27,vehicle_speed,Slow speed,
Crossroads28,vehicle_speed,Slow speed,
Crossroads29,vehicle_speed,Slow speed,
Crossroads30,vehicle_speed,Slow speed,
Crossroads31,vehicle_speed,Slow speed,
Crossroads32,vehicle_speed,Slow speed,
Crossroads33,vehicle_speed,Slow speed,
Crossroads34,vehicle_speed,Slow speed,
Crossroads35,vehicle_speed,Slow speed,
Crossroads36,vehicle_speed,Slow speed,
Crossroads37,vehicle_speed,Slow speed,
Crossroads38,vehicle_speed,Slow speed,
Crossroads39,vehicle_speed,Slow speed,
Crossroads40,vehicle_speed,Fast speed,
Crossroads41,vehicle_speed,Slow speed,
Crossroads42,vehicle_speed,Slow speed,
Crossroads43,vehicle_speed,Slow speed,
Crossroads44,vehicle_speed,Slow speed,
Crossroads45,vehicle_speed,Slow speed,
Crossroads46,vehicle_speed,Slow speed,
Crossroads47,vehicle_speed,Slow speed,
Crossroads48,vehicle_speed,Slow speed,
Crossroads49,vehicle_speed,Fast speed,
Crossroads50,vehicle_speed,Slow speed,
Crossroads51,vehicle_speed,Slow speed,
Crossroads52,vehicle_speed,Slow speed,
Crossroads53,vehicle_speed,Slow speed,
Crossroads54,vehicle_speed,Slow speed,
Crossroads55,vehicle_speed,Slow speed,
Crossroads56,vehicle_speed,Slow speed,
Crossroads57,vehicle_speed,Slow speed,
Crossroads58,vehicle_speed,Slow speed,
Crossroads59,vehicle_speed,Slow speed,
Crossroads60,vehicle_speed,Slow speed,
Crossroads61,vehicle_speed,Slow speed,
Crossroads62,vehicle_speed,Fast speed,
Crossroads63,vehicle_speed,Slow speed,
Crossroads64,vehicle_speed,Slow speed,
Crossroads65,vehicle_speed,Slow speed,
Crossroads66,vehicle_speed,Slow speed,
Crossroads67,vehicle_speed,Slow speed,
Crossroads68,vehicle_speed,Slow speed,
Crossroads69,vehicle_speed,Slow speed,
Crossroads70,vehicle_speed,Slow speed,
Crossroads71,vehicle_speed,Slow speed,
Crossroads72,vehicle_speed,Slow speed,
Crossroads73,vehicle_speed,Slow speed,
Crossroads74,vehicle_speed,Slow speed,
Crossroads75,vehicle_speed,Slow speed,
Crossroads76,vehicle_speed,Slow speed,
Crossroads77,vehicle_speed,Slow speed,
Crossroads78,vehicle_speed,Slow speed,
Crossroads79,vehicle_speed,Slow speed,
Crossroads80,vehicle_speed,Slow speed,
Crossroads81,vehicle_speed,Slow speed,
Crossroads82,vehicle_speed,Fast speed,
Crossroads83,vehicle_speed,Slow speed,
Crossroads84,vehicle_speed,Slow speed,
Crossroads85,vehicle_speed,Slow speed,
Crossroads86,vehicle_speed,Slow speed,
Crossroads87,vehicle_speed,Slow speed,
Crossroads88,vehicle_speed,Slow speed,
Crossroads89,vehicle_speed,Slow speed,
Crossroads90,vehicle_speed,Slow speed,
Trident1,vehicle_speed,Slow speed,
Trident2,vehicle_speed,Slow speed,
Trident3,vehicle_speed,Slow speed,
Trident4,vehicle_speed,Slow speed,
Trident5,vehicle_speed,Slow speed,
Trident6,vehicle_speed,Slow speed,
Trident7,vehicle_speed,Slow speed,
Trident8,vehicle_speed,Slow speed,
Trident9,vehicle_speed,Slow speed,
Trident10,vehicle_speed,Slow speed,
Trident11,vehicle_speed,Slow speed,
Trident12,vehicle_speed,Fast speed,
Trident13,vehicle_speed,Slow speed,
Trident14,vehicle_speed,Slow speed,
Trident15,vehicle_speed,Slow speed,
Trident16,vehicle_speed,Slow speed,
Trident17,vehicle_speed,Slow speed,
Trident18,vehicle_speed,Slow speed,
Trident19,vehicle_speed,Slow speed,
Trident20,vehicle_speed,Slow speed,
Trident21,vehicle_speed,Slow speed,
Trident22,vehicle_speed,Slow speed,
Trident23,vehicle_speed,Slow speed,
Trident24,vehicle_speed,Slow speed,
Trident25,vehicle_speed,Slow speed,
